PLU Number,Description,Short Desc,Department,Category,Taxable,Age Restricted,Unit,Pack Size,Cost,Retail Price,UPC,Vendor Code,Product Code
1001,MARLBORO REDS KS 20CT,MARL RD KS,1,101,true,true,PK,1,6.80,9.49,012345678901,PM,MRL-RD-KS
1002,MARLBORO LIGHTS KS 20CT,MARL LT KS,1,101,true,true,PK,1,6.80,9.49,012345678902,PM,MRL-LT-KS
1003,NEWPORT MENTHOL KS BOX 20CT,NWPT MNT KS,1,101,true,true,PK,1,6.95,9.79,012800000108,RJ,NWP-MNT-KS
2001,COCA COLA 20OZ PET,COKE 20Z,3,301,false,false,EA,1,0.99,2.19,049000006344,COC,CC-20OZ
2002,PEPSI 20OZ PET,PEPSI 20Z,3,301,false,false,EA,1,0.95,2.19,012000001048,PEP,PEP-20OZ
2003,RED BULL ENERGY 8.4OZ CAN,RED BULL 8Z,3,302,false,false,EA,1,1.85,3.49,611269991000,RBL,RB-8OZ
2004,MONSTER ENERGY ORIGINAL 16OZ,MONSTER 16Z,3,302,false,false,EA,1,1.60,3.29,070847811169,MNS,MON-16OZ
2005,GATORADE LEMON LIME 32OZ,GATOR 32Z,3,303,false,false,EA,1,1.10,2.49,052000329841,GAT,GAT-32OZ
2006,DASANI WATER 20OZ PET,DASANI 20Z,3,304,false,false,EA,1,0.45,1.79,049000042566,COC,DAS-20OZ
3001,LAYS CLASSIC 2.625OZ BAG,LAYS CLS,4,401,false,false,EA,1,0.99,1.99,028400090131,FRT,LAY-CLS
3002,JACK LINKS BEEF JERKY 3.25OZ,JKLINK 3.25,4,402,false,false,EA,1,3.45,5.99,017082875571,JKL,JL-3OZ
3003,SNICKERS BAR 1.86OZ,SNICKERS,5,501,false,false,EA,1,0.60,1.49,040000507925,MRS,SNC-186
4001,BUD LIGHT 6PK 12OZ CANS,BUD LT 6PK,2,201,true,true,PK,6,5.20,8.99,018200000018,ABI,BL-6PK
9001,,,,4,401,false,false,,1,1.20,1.99,,,
9002,MARLBORO REDS KS 20CT,MARL RD DUP,1,101,false,false,PK,1,6.80,9.49,012345678901,,
9003,GENERIC ENERGY DRINK 16OZ,GEN ENRGY,6,601,false,false,ea,1,1.50,2.00,099999999991,,
9004,STORE BRAND WATER 16OZ,STORE WTR,3,301,false,false,EA,1,0.75,0.59,099999999992,,
9005,PLANTERS MIXED NUTS 1.75OZ,PLNTRS MX NTS SM,4,403,false,false,EA,1,1.10,2.29,,,
