pos_plu_id,description,dept_name,category_name,unit_cost,last_cost_update,vendor_name,vendor_sku,pack_size,case_cost
1001,COCA COLA 20OZ,BEVERAGES,SOFT DRINKS,0.89,2024-01-01,COCA COLA DIST CO,CC-20OZ-PET,24,21.36
1002,PEPSI 20OZ,BEVERAGES,SOFT DRINKS,0.89,2024-01-01,PEPSI BEVERAGES,PE-20OZ-PET,24,21.36
1003,DR PEPPER 20OZ,BEVERAGES,SOFT DRINKS,0.89,2024-01-01,KEURIG DR PEPPER,DP-20OZ-PET,24,21.36
1004,SPRITE 20OZ,BEVERAGES,SOFT DRINKS,0.89,2024-01-01,COCA COLA DIST CO,SP-20OZ-PET,24,21.36
1005,MOUNTAIN DEW 20OZ,BEVERAGES,SOFT DRINKS,0.89,2024-01-01,PEPSI BEVERAGES,MD-20OZ-PET,24,21.36
1006,WATER DASANI 20OZ,BEVERAGES,WATER,0.38,2024-01-01,COCA COLA DIST CO,DA-20OZ-PET,24,9.12
1007,WATER AQUAFINA 20OZ,BEVERAGES,WATER,0.38,2024-01-01,PEPSI BEVERAGES,AQ-20OZ-PET,24,9.12
2001,MARLBORO RED KS,TOBACCO,CIGARETTES,8.09,2024-01-01,ALTRIA GROUP,MR-KS-PACK,10,80.90
2002,MARLBORO LIGHT KS,TOBACCO,CIGARETTES,8.06,2024-01-01,ALTRIA GROUP,ML-KS-PACK,10,80.60
2003,NEWPORT MENTHOL KS,TOBACCO,CIGARETTES,8.22,2024-01-01,LORILLARD TOBACCO,NP-KS-PACK,10,82.20
2004,CAMEL BLUE KS,TOBACCO,CIGARETTES,7.88,2024-01-01,RJ REYNOLDS,CA-KS-PACK,10,78.80
3001,LAYS ORIG 1.75OZ,SNACKS,CHIPS,0.69,2024-01-01,FRITO-LAY,LO-175-BAG,48,33.12
3002,DORITOS NACHO 1.75OZ,SNACKS,CHIPS,0.69,2024-01-01,FRITO-LAY,DN-175-BAG,48,33.12
3003,CHEETOS CRUNCHY 1.75OZ,SNACKS,CHIPS,0.69,2024-01-01,FRITO-LAY,CC-175-BAG,48,33.12
3004,PRINGLES ORIG 2.5OZ,SNACKS,CHIPS,0.92,2024-01-01,KELLOGG CO,PO-25-CAN,24,22.08
4001,SNICKERS 1.86OZ,CANDY,CHOCOLATE,0.79,2024-01-01,MARS INC,SN-186-BAR,36,28.44
4002,REESES PB CUPS 1.5OZ,CANDY,CHOCOLATE,0.79,2024-01-01,HERSHEY CO,RP-15-PACK,36,28.44
4003,MILKY WAY 1.84OZ,CANDY,CHOCOLATE,0.79,2024-01-01,MARS INC,MW-184-BAR,36,28.44
4004,SKITTLES ORIG 1.76OZ,CANDY,NON-CHOC,0.72,2024-01-01,MARS INC,SK-176-BAG,36,25.92
5001,MONSTER ENERGY 16OZ,ENERGY DRINKS,ENERGY,2.09,2024-01-01,MONSTER BEVERAGE,ME-16OZ-CAN,24,50.16
5002,RED BULL 8.4OZ,ENERGY DRINKS,ENERGY,1.84,2024-01-01,RED BULL NA,RB-84-CAN,24,44.16
5003,5 HOUR ENERGY 1.93OZ,ENERGY DRINKS,SHOTS,1.52,2024-01-01,LIVING ESSENTIALS,FH-193-BOT,12,18.24
6001,HOT DOG ROLLER,FOOD SERVICE,HOT FOOD,0.70,2024-01-01,SYSCO FOODS,HD-RLR-EA,50,35.00
6002,COFFEE 12OZ,FOOD SERVICE,COFFEE,0.41,2024-01-01,SYSCO FOODS,CF-12OZ-CUP,1,0.41
7001,CAMEL BLUE KS,TOBACCO,CIGARETTES,7.88,2024-01-01,RJ REYNOLDS,CA-KS-PACK,10,78.80
8001,ARIZONA ICED TEA 23OZ,BEVERAGES,TEA,0.56,2024-01-01,ARIZONA BEVERAGE,AZ-23OZ-CAN,24,13.44
9001,GASOLINE REG 87 GAL,FUEL,FUEL,3.28,2024-01-15,PETROLEUM DIST,GR87-GAL,1,3.28
9002,GASOLINE MID 89 GAL,FUEL,FUEL,3.42,2024-01-15,PETROLEUM DIST,GM89-GAL,1,3.42
9003,GASOLINE PREM 93 GAL,FUEL,FUEL,3.57,2024-01-15,PETROLEUM DIST,GP93-GAL,1,3.57
