date,shift_id,pos_plu_id,description,dept_name,qty_sold,unit_price,total_revenue,total_cost,gross_margin
2024-01-15,SH-001,1001,COCA COLA 20OZ,BEVERAGES,42,1.99,83.58,37.38,55.25%
2024-01-15,SH-001,1002,PEPSI 20OZ,BEVERAGES,35,1.99,69.65,31.15,55.27%
2024-01-15,SH-001,2001,MARLBORO RED KS,TOBACCO,18,9.49,170.82,144.90,15.18%
2024-01-15,SH-001,2002,MARLBORO LIGHT KS,TOBACCO,22,9.49,208.78,177.32,15.07%
2024-01-15,SH-001,3001,LAYS ORIG 1.75OZ,SNACKS,28,1.29,36.12,19.32,46.51%
2024-01-15,SH-001,3002,DORITOS NACHO 1.75OZ,SNACKS,24,1.29,30.96,16.56,46.51%
2024-01-15,SH-001,4001,SNICKERS 1.86OZ,CANDY,31,1.49,46.19,24.49,46.98%
2024-01-15,SH-001,4002,REESES PB CUPS 1.5OZ,CANDY,27,1.49,40.23,21.33,46.98%
2024-01-15,SH-001,5001,MONSTER ENERGY 16OZ,ENERGY DRINKS,19,3.49,66.31,39.71,40.12%
2024-01-15,SH-001,5002,RED BULL 8.4OZ,ENERGY DRINKS,15,2.99,44.85,27.60,38.47%
2024-01-15,SH-001,6001,HOT DOG ROLLER,FOOD SERVICE,33,1.99,65.67,23.10,64.83%
2024-01-15,SH-001,6002,COFFEE 12OZ,FOOD SERVICE,55,1.49,81.95,22.55,72.48%
2024-01-15,SH-001,7001,CAMEL BLUE KS,TOBACCO,14,9.29,130.06,110.46,15.07%
2024-01-15,SH-001,8001,ARIZONA ICED TEA 23OZ,BEVERAGES,48,1.29,61.92,26.88,56.59%
2024-01-15,SH-001,9001,GASOLINE REG 87 GAL,FUEL,312,3.459,1079.21,1020.48,5.44%
2024-01-15,SH-002,1001,COCA COLA 20OZ,BEVERAGES,38,1.99,75.62,33.82,55.25%
2024-01-15,SH-002,1003,DR PEPPER 20OZ,BEVERAGES,29,1.99,57.71,25.81,55.27%
2024-01-15,SH-002,2001,MARLBORO RED KS,TOBACCO,21,9.49,199.29,169.05,15.18%
2024-01-15,SH-002,3003,CHEETOS CRUNCHY 1.75OZ,SNACKS,20,1.29,25.80,13.80,46.51%
2024-01-15,SH-002,4003,MILKY WAY 1.84OZ,CANDY,23,1.49,34.27,18.17,46.98%
2024-01-15,SH-002,5001,MONSTER ENERGY 16OZ,ENERGY DRINKS,22,3.49,76.78,45.98,40.12%
2024-01-15,SH-002,6001,HOT DOG ROLLER,FOOD SERVICE,28,1.99,55.72,19.60,64.83%
2024-01-15,SH-002,9001,GASOLINE REG 87 GAL,FUEL,287,3.459,992.73,938.59,5.45%
2024-01-16,SH-003,1001,COCA COLA 20OZ,BEVERAGES,51,1.99,101.49,45.39,55.27%
2024-01-16,SH-003,2001,MARLBORO RED KS,TOBACCO,25,9.49,237.25,201.25,15.18%
2024-01-16,SH-003,3001,LAYS ORIG 1.75OZ,SNACKS,32,1.29,41.28,22.08,46.51%
2024-01-16,SH-003,4001,SNICKERS 1.86OZ,CANDY,36,1.49,53.64,28.44,46.98%
2024-01-16,SH-003,5002,RED BULL 8.4OZ,ENERGY DRINKS,18,2.99,53.82,33.12,38.47%
2024-01-16,SH-003,6002,COFFEE 12OZ,FOOD SERVICE,62,1.49,92.38,25.42,72.48%
2024-01-16,SH-003,9001,GASOLINE REG 87 GAL,FUEL,398,3.459,1376.68,1302.06,5.42%
